user_id	session_id	event_type	event_page	timestamp
562	507	page	main	1695584127
562	507	event	main	1695584134
562	507	event	main	1695584144
562	507	event	main	1695584147
562	507	wNaxLlerrorU	main	1695584154
562	507	event	main	1695584154
562	507	event	main	1695584154
562	507	event	main	1695584160
562	507	page	rabota	1695584166
562	507	event	rabota	1695584174
562	507	event	rabota	1695584181
562	507	event	rabota	1695584189
562	507	page	main	1695584194
562	507	event	main	1695584204
562	507	event	main	1695584211
562	507	event	main	1695584211
562	507	event	main	1695584219
562	507	page	bonus	1695584221
562	507	page	online	1695584222
562	507	event	online	1695584230
3539	849	page	main	1695584238
3539	849	event	main	1695584252
3539	849	page	online	1695584261
3539	849	page	bonus	1695584269
3539	849	event	bonus	1695584278
3539	849	page	news	1695584285
3539	849	page	main	1695584291
3539	849	event	main	1695584301
3539	849	page	news	1695584306
3539	849	event	news	1695584307
3539	849	page	vklad	1695584317
3539	849	page	rabota	1695584319
3539	849	event	rabota	1695584324
3539	849	page	bonus	1695584324
3539	849	event	bonus	1695584324
3539	849	event	bonus	1695584333
461	174	page	main	1695584343
4567	514	page	main	1695584345
3539	849	event	bonus	1695584348
4567	514	mAXExoCXerror	main	1695584351
4567	514	event	main	1695584357
3539	849	event	bonus	1695584365
4567	514	page	archive	1695584373
461	174	event	main	1695584376
461	174	event	main	1695584376
4567	514	page	internet	1695584381
3539	849	page	tariffs	1695584389
461	174	event	main	1695584397
461	174	event	main	1695584404
461	174	event	main	1695584410
4567	514	event	internet	1695584410
4567	514	page	news	1695584418
461	174	event	main	1695584427
4567	514	event	news	1695584434
461	174	event	main	1695584444
461	174	event	main	1695584452
4567	514	page	internet	1695584453
461	174	event	main	1695584453
461	174	event	main	1695584454
461	174	event	main	1695584461
461	174	page	internet	1695584465
461	174	event	internet	1695584469
2219	189	page	main	1695584478
4567	514	page	rabota	1695584483
461	174	event	internet	1695584484
4567	514	page	internet	1695584486
461	174	event	internet	1695584494
3642	279	page	main	1695584504
2219	189	event	main	1695584514
4567	514	page	archive	1695584528
461	174	uvjferrorYYwYlubX	internet	1695584529
3642	279	event	main	1695584536
3642	279	page	tariffs	1695584544
3642	279	event	tariffs	1695584550
3642	279	event	tariffs	1695584553
4567	514	event	archive	1695584561
3642	279	page	main	1695584564
3369	31	page	main	1695584574
3642	279	page	online	1695584580
3369	31	event	main	1695584590
3642	279	event	online	1695584590
4567	514	event	archive	1695584592
3642	279	page	news	1695584592
461	174	event	internet	1695584593
4567	514	event	archive	1695584599
844	258	page	main	1695584608
461	174	page	vklad	1695584610
461	174	event	vklad	1695584618
4567	514	event	archive	1695584627
844	258	event	main	1695584636
461	174	event	vklad	1695584638
4567	514	event	archive	1695584644
461	174	page	archive	1695584649
844	258	kfIpzqTUaerrorSQD	main	1695584652
3369	31	event	main	1695584654
4567	514	event	archive	1695584660
461	174	event	archive	1695584664
833	954	page	main	1695584670
2075	352	page	main	1695584678
833	954	page	bonus	1695584688
833	954	page	main	1695584695
461	174	page	news	1695584698
461	174	iVerrornrA	news	1695584698
3369	31	page	archive	1695584702
3369	31	event	archive	1695584707
3369	31	page	news	1695584708
4567	514	event	archive	1695584718
2075	352	event	main	1695584727
3369	31	event	news	1695584728
2130	416	page	main	1695584728
844	258	event	main	1695584729
4567	514	event	archive	1695584731
461	174	event	news	1695584736
2075	352	page	archive	1695584745
461	174	event	news	1695584751
2075	352	page	internet	1695584760
2075	352	event	internet	1695584763
3369	31	page	tariffs	1695584764
3369	31	page	main	1695584769
2075	352	page	archive	1695584778
844	258	page	archive	1695584779
461	174	page	internet	1695584783
3369	31	event	main	1695584783
2075	352	event	archive	1695584783
461	174	event	internet	1695584793
844	258	page	tariffs	1695584794
461	174	event	internet	1695584795
4567	514	event	archive	1695584798
844	258	page	vklad	1695584807
461	174	event	internet	1695584809
4567	514	event	archive	1695584816
4567	514	event	archive	1695584826
2130	416	event	main	1695584828
844	258	event	vklad	1695584829
2075	352	page	main	1695584835
2075	352	event	main	1695584839
2130	416	page	news	1695584843
150	322	page	main	1695584850
4567	514	event	archive	1695584851
3369	31	event	main	1695584861
461	174	event	internet	1695584861
2130	416	page	archive	1695584865
3369	31	page	rabota	1695584874
3329	400	page	main	1695584881
461	174	page	bonus	1695584887
2130	416	page	rabota	1695584892
461	174	event	bonus	1695584899
4567	514	event	archive	1695584903
2130	416	page	news	1695584912
3329	400	event	main	1695584919
3369	31	page	main	1695584924
3369	31	event	main	1695584929
4567	514	page	vklad	1695584932
461	174	page	internet	1695584937
461	174	page	online	1695584941
461	174	page	news	1695584948
3329	400	event	main	1695584958
3369	31	page	online	1695584968
2075	352	event	main	1695584971
461	174	page	vklad	1695584975
105	191	page	main	1695584980
3329	400	event	main	1695584985
4567	514	event	vklad	1695584989
461	174	event	vklad	1695584994
805	626	page	main	1695585002
805	626	event	main	1695585011
461	174	page	archive	1695585020
4567	514	page	archive	1695585023
805	626	event	main	1695585023
2075	352	page	tariffs	1695585026
3369	31	event	online	1695585027
805	626	page	archive	1695585035
105	191	event	main	1695585036
